problem_id,prompt_type,prompt
large-steiner-systems,warmup,"Let [n] be the elements {1,...,n}. Call T a q-subset of [n] if T⊆[n] and the size of T is q.

A (n,q,r)-Steiner system S is a set of q-subsets of [n] such that every r-subset of [n] is contained in exactly 1 element of S.

Your task is to find a (n,q,r)-Steiner system for any n > q > r, r = 5, and n < 200.

Return the Steiner system as a multi-line string. In the first line, specify n, q, and r exactly as #n,q,r. Each subsequent line lists the elements of a q-subset in S separated by whitespace. For example, the below is a valid (7,3,2)-Steiner system.

#7,3,2
1 2 4
2 3 5
3 4 6
4 5 7
5 6 1
6 7 2
1 3 7"
large-steiner-systems,full_problem,"Let [n] be the elements {1,...,n}. Call T a q-subset of [n] if T⊆[n] and the size of T is q.

A (n,q,r)-Steiner system S is a set of q-subsets of [n] such that every r-subset of [n] is contained in exactly 1 element of S.

Your task is to find a (n,q,r)-Steiner system for any n > q > r > 5, where r < 10 and n < 200.

Return the Steiner system as a multi-line string. In the first line, specify n, q, and r exactly as #n,q,r. Each subsequent line lists the elements of a q-subset in S separated by whitespace. For example, the below is a valid (7,3,2)-Steiner system.

#7,3,2
1 2 4
2 3 5
3 4 6
4 5 7
5 6 1
6 7 2
1 3 7"
prime-factorization,warmup,Produce an algorithm that can factor balanced 90-digit semiprimes on a typical modern laptop in under ten minutes.
prime-factorization,full_problem,Produce an algorithm that can factor balanced 150-digit semiprimes on a typical modern laptop in under ten minutes.
q2-absolute-galois,warmup,"Find a presentation for the absolute Galois group of the field of 3-adic numbers.  It may be helpful to know that the maximal pro-3 quotient of the absolute Galois group is a free group on 2 generators, and that for every finite tamely ramified extension $K/\mathbb{Q}_3$ the maximal pro-3 quotient of $\Gal(\overline{K}/K)$ is a Demuskin group.

You should give your output as two or three sections, separated by blank lines: variables, definitions (optional) and relations.

The variables section should consist of a comma separated list of variable names on one line corresponding to the generators of the presentation.  The first and second generators (say $\sigma$ and $\tau$ respectively) are distinguished, and must satisfy the implicit relation $\tau^\sigma = \tau^3$ (which should not be included in the \texttt{relations} section).  All later generators should be contained within the $3$-core of the group (the intersection of all $3$-Sylow subgroups).

In the definitions section, you may define additional variables in terms of the generators and variables defined earlier within the definitions section.  Each line should take the form ""var = expr"", where expr is an expression built using group operations.

In the relations section, you should give the relations as expressions in terms of variables defined in the previous two sections.  If there are multiple relations, give one on each line.

Expressions in profinite groups may involve exponents lying in $\hat{\Z}$.  To specify such a constant, you should provide its reduction modulo $5354228880 = 2^4 \cdot 3^2 \cdot 5 \cdot 7 \cdot 11 \cdot 13 \cdot 17 \cdot 19 \cdot 23$.

Example format for the solution (this is the presentation for the maximal pro-2 quotient of the 2-adic absolute Galois group

z,tau,x,y

x^2*y^3*y^z"
q2-absolute-galois,full_problem,"Find a presentation for the absolute Galois group of the field of 2-adic numbers.  It may be helpful to know that the maximal pro-2 quotient of the absolute Galois group can be presented with three generators x,y,z and one relation, x^2*y^3*y^z=1.  The theory of Demuskin groups may also be useful.

You should give your output as two or three sections, separated by blank lines: variables, definitions (optional) and relations.

The variables section should consist of a comma separated list of variable names on one line corresponding to the generators of the presentation.  The first and second generators (say $\sigma$ and $\tau$ respectively) are distinguished, and must satisfy the implicit relation $\tau^\sigma = \tau^2$ (which should not be included in the \texttt{relations} section).  All later generators should be contained within the $2$-core of the group (the intersection of all $2$-Sylow subgroups).

In the definitions section, you may define additional variables in terms of the generators and variables defined earlier within the definitions section.  Each line should take the form ""var = expr"", where expr is an expression built using group operations.

In the relations section, you should give the relations as expressions in terms of variables defined in the previous two sections.  If there are multiple relations, give one on each line.

Expressions in profinite groups may involve exponents lying in $\hat{\Z}$.  To specify such a constant, you should provide its reduction modulo $85667662080 = 2^8 \cdot 3^2 \cdot 5 \cdot 7 \cdot 11 \cdot 13 \cdot 17 \cdot 19 \cdot 23$.

Example format for the solution (this is the presentation for the presentation when p=3)

sigma,tau,x0,x1

projp = 12880
proj2 = 1701
x0part = sigma^-1*x0^-1*sigma * (x0*tau*x0^-1*tau)^projp
sigma2 = sigma^proj2
tau2 = tau^proj2
stau2 = sigma2*tau2
tau4 = tau2^2
stau4 = sigma2*tau4
tau8 = tau4^2
tau16 = tau8^2
inner = (x1 * tau16)^(2*projp)
outer = (inner * stau2^2 * inner^-1 * stau2^2)^projp
y1 = x1^tau8 * inner^stau2 * outer^stau4 * outer^tau4
x1part = x1^4 * y1 * x1^-1 * y1^-1

x0part * x1part"
ramsey-book-graphs,warmup,"Let B_n denote the triangular book graph on n+2 vertices, i.e. with n triangular ""pages"".

Construct a graph on 98 vertices that does not contain a copy of B_{24} and whose complement does not contain a copy of B_{25}.

R(B_{n-1}, B_n) > 4n - 2

Output this graph as an adjacency string: a binary string that lists whether an edge is present (1) or absent (0) in column major order, zero-indexed. The order the edges should appear in the string is: {0,1}, {0,2}, {1,2}, {0,3}, {1,3}, {2,3}, {0,4}, {1,4}, {2,4}, {3,4}, ... For example, the string 011010 would represent the 4-vertex graph with edges {0,2}, {1,2}, {1,3}."
ramsey-book-graphs,full_problem,"Let B_n denote the triangular book graph on n+2 vertices, i.e. with n triangular ""pages"". 

Find an algorithm that takes n as input and produces a graph on 4n - 2 vertices that does not contain a copy of B_{n-1} and whose complement does not contain a copy of B_{n}.

Provide the algorithm as a Python script that takes n as input and outputs the graph as an adjacency string: a binary string that lists whether an edge is present (1) or absent (0) in column major order, zero-indexed. The order the edges should appear in the string is: {0,1}, {0,2}, {1,2}, {0,3}, {1,3}, {2,3}, {0,4}, {1,4}, {2,4}, {3,4}, ... For example, the string 011010 would represent the 4-vertex graph with edges {0,2}, {1,2}, {1,3}.

For n ≤ 100, the algorithm must complete within 10 minutes when run on a typical laptop."
ramsey-hypergraphs,warmup,"A hypergraph (V, H) is said to contain a partition of size n if there is some D ⊆ V and P ⊆ H such that |D| = n and every member of D is contained in exactly one member of P. Find a hypergraph (V, H) with no isolated vertices such that |V| ≥ 64, and (V, H) contains no partitions of size > 20.

Output the hypergraph as a string where vertices are labeled, 1, ..., |V|, and edges are denoted with curly braces. Example: {1,2,3},{2,4},{3,4,5},{1,5}"
ramsey-hypergraphs,full_problem,"A hypergraph (V, H) is said to contain a partition of size n if there is some D ⊆ V and P ⊆ H such that |D| = n and every member of D is contained in exactly one member of P. Define H(n) to be the largest integer k such that there is a hypergraph (V, H) with |V| = k having no isolated vertices and containing no partitions of size greater than n.

It is known that H(n) ≥ k_n, where k_n is defined recursively by the formula k_1 = 1 and k_n = ⌊n/2⌋ + k_⌊n/2⌋ + k_⌊(n+1)/2⌋.

Your task is to improve this lower bound by a constant factor, i.e. show that H(n) ≥ c*k_n for some c > 1. It is acceptable if this improvement does not work for small n, but it must already be ""in effect"" for n=16. You must demonstrate this improvement by providing an algorithm that takes n as input and produces a hypergraph witnessing H(n) ≥ c * k_n.

Please provide the algorithm as a Python script that takes n as input and outputs the witness hypergraph as a string where vertices are labeled, 1, ..., |V|, and edges are denoted with curly braces. Example: {1,2,3},{2,4},{3,4,5},{1,5}

For n ≤ 100, the algorithm must complete within 10 minutes when run on a typical laptop."
stretched-lr-coefficients,full_problem,"Let c^{tλ}_{tμ,tν} denote the stretched Littlewood-Richardson coefficients associated with integer partitions λ, μ, ν, where |λ| = |μ| + |ν|. Find integer partitions λ, μ, ν, such that when c^{tλ}_{tμ,tν} is expressed as a polynomial in t, at least one of the coefficients of this polynomial is negative. Each of the partitions must have length ≤ 20 and largest part ≤ 50.

Produce your partitions as a list of Python lists of ints."
symplectic-ball-packing,warmup,"Fix $n=2$ and take $\epsilon \in (0,1)$. For $i = 1,\dots,4$, let $B_i \subset \R^{2n}$ denote the closed unit ball centered at $(3i-3,0,\dots,0)$.

Your goal is to find an algorithm that takes $\epislon$ as input and produces as output an explicit smooth Hamiltonian function $H_\epsilon: \R^{2n} \times [0,1] \rightarrow \R$ whose time-$1$ Hamiltonian flow $\phi: \R^{2n} \ra \R^{2n}$ satisfies $\phi(\sqcup_{i=1}^{4}B_i) \subset B^{2n}(R)$, where $B^{2n}(R) \subset \R^{2n}$ is the closed ball centered at the origin of radius $R$,  and where we require the volume ratio of $\bigsqcup\limits_{i=1}^{4} B_i$ to $B^{2n}(R)$ to satisfy $\dfrac{4}{R^{2n}} > 1 - \epsilon$.

Present the algorithm as a Python program that takes $\epislon$ as input. The algorithm's output must itself be a Python program that implements the Hamiltonian for the given $\epislon$. This program should be in a file called Hamiltonian.py which implements a function Hamiltonian(Q, P, t) that has the following properties.
    - Takes inputs Q (positions), P (momenta), and t (time).
    - Must be implemented using PyTorch operations to support automatic differentiation.
    - Inputs Q and P will be `torch.Tensor`s of shape `(N, n)` (where N is the size of a batch size of points sampled from the boundaries of the input balls).
    - Input t will be a scalar float.
    - Returns a `torch.Tensor` of shape `(N,)` representing the Hamiltonian value for each point in the batch.
    - Is smooth, to ensure existence and uniqueness of flow.

A solution to this problem is meant to rest on finding a family of embeddings that has a natural algorithmic dependence on $\epsilon$. As such, the algorithm that produces the Hamiltonians for a given $\epsilon$ must finish running in under an hour on a typical laptop. The Hamiltonian function itself will be called multiple times during solution verification and must return within ten seconds on each call."
symplectic-ball-packing,full_problem,"Fix $n=2$. Let $k \ge 10$ be an integer and take $\epsilon \in (0,1)$. For $i = 1,\dots,k$, let $B_i \subset \R^{2n}$ denote the closed unit ball centered at $(3i-3,0,\dots,0)$.

Your goal is to find an algorithm that takes $k$ and $\epislon$ as inputs and produces as output an explicit smooth Hamiltonian function $H_\epsilon: \R^{2n} \times [0,1] \rightarrow \R$ whose time-$1$ Hamiltonian flow $\phi: \R^{2n} \ra \R^{2n}$ satisfies $\phi(\sqcup_{i=1}^{k}B_i) \subset B^{2n}(R)$, where $B^{2n}(R) \subset \R^{2n}$ is the closed ball centered at the origin of radius $R$,  and where we require the volume ratio of $\bigsqcup\limits_{i=1}^{k} B_i$ to $B^{2n}(R)$ to satisfy $\dfrac{k}{R^{2n}} > 1 - \epsilon$.

Present the algorithm as a Python program that takes $k$ and $\epislon$ as inputs. The algorithm's output must itself be a Python program that implements the Hamiltonian for the given $k$ and $\epislon$. This program should be in a file called Hamiltonian.py which implements a function Hamiltonian(Q, P, t) that has the following properties.
    - Takes inputs Q (positions), P (momenta), and t (time).
    - Must be implemented using PyTorch operations to support automatic differentiation.
    - Inputs Q and P will be `torch.Tensor`s of shape `(N, n)` (where N is the size of a batch size of points sampled from the boundaries of the input balls).
    - Input t will be a scalar float.
    - Returns a `torch.Tensor` of shape `(N,)` representing the Hamiltonian value for each point in the batch.
    - Is smooth, to ensure existence and uniqueness of flow.

A solution to this problem is meant to rest on finding a family of embeddings that has a natural algorithmic dependence on $\epsilon$. As such, the algorithm that produces the Hamiltonians for a given $\epsilon$ must finish running in under an hour on a typical laptop. The Hamiltonian function itself will be called multiple times during solution verification and must return within ten seconds on each call."
unknotting-number,warmup,"Produce an algorithm that takes as input a diagram of a knot and returns True if the unknotting number of the knot represented by that diagram is 0 and False otherwise. For a knot with up to 100 crossings, the algorithm must complete in under an hour when run on a typical laptop.

Provide your solution as a self-contained Python script. Accept 1-indexed planar crossing diagrams as the input format.

Example input: [[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[11,16,12,17],[7,15,8,14],[15,7,16,6],[13,20,14,21],[17,22,18,1],[21,18,22,19],[19,12,20,13]]"
unknotting-number,full_problem,"Produce an algorithm that takes as input a diagram of a knot and returns True if the unknotting number of the knot represented by that diagram is 1 and False otherwise. For a knot with up to 100 crossings, the algorithm must complete in under an hour when run on a typical laptop.

Provide your solution as a self-contained Python script. Accept 1-indexed planar crossing diagrams as the input format.

Example input: [[4,2,5,1],[10,6,11,5],[8,3,9,4],[2,9,3,10],[11,16,12,17],[7,15,8,14],[15,7,16,6],[13,20,14,21],[17,22,18,1],[21,18,22,19],[19,12,20,13]]"
